,index,State,Area,Year,UnemploymentRate,Change,Region,LHS,HS,SC,BD,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate,MedianIncome
0,0,AL,Alabama,2007,4.0,,South,,,,,,,,42212.0
1,1,AL,Alabama,2008,5.7,1.7,South,,,,,,,,44476.0
2,2,AL,Alabama,2009,11.0,5.3,South,,,,,,,,39980.0
3,3,AL,Alabama,2010,10.5,-0.5,South,,,,,,,,40933.0
4,4,AL,Alabama,2011,9.6,-0.9,South,,,,,4798649.0,0.9,-0.5,42590.0
5,5,AL,Alabama,2012,8.0,-1.6,South,15.2,31.0,29.8,24.0,4813946.0,0.9,0.0,43464.0
6,6,AL,Alabama,2013,7.2,-0.8,South,15.2,31.0,29.8,24.0,4827660.0,0.8,0.5,41381.0
7,7,AL,Alabama,2014,6.8,-0.4,South,15.2,31.0,29.8,24.0,4840037.0,0.8,-0.2,42278.0
8,8,AL,Alabama,2015,6.0,-0.8,South,15.2,31.0,29.8,24.0,4850858.0,1.0,-0.3,44509.0
9,9,AL,Alabama,2016,5.9,-0.1,South,15.2,31.0,29.8,24.0,4860545.0,1.0,-0.4,47221.0
10,10,AL,Alabama,2017,4.4,-1.5,South,,,,,4874747.0,0.9,0.8,51113.0
11,11,AL,Autauga County,2007,3.3,,South,,,,,,,,
12,12,AL,Autauga County,2008,5.1,1.8,South,,,,,,,,
13,13,AL,Autauga County,2009,9.7,4.6,South,,,,,,,,
14,14,AL,Autauga County,2010,8.9,-0.8,South,,,,,,,,
15,15,AL,Autauga County,2011,8.4,-0.5,South,,,,,55199.0,0.0,5.9,
16,16,AL,Autauga County,2012,6.9,-1.5,South,12.4,34.3,28.7,24.6,54927.0,-0.3,-5.8,
17,17,AL,Autauga County,2013,6.2,-0.7,South,12.4,34.3,28.7,24.6,54695.0,0.0,-4.1,
18,18,AL,Autauga County,2014,5.8,-0.4,South,12.4,34.3,28.7,24.6,54864.0,0.2,1.9,
19,19,AL,Autauga County,2015,5.0,-0.8,South,12.4,34.3,28.7,24.6,54838.0,0.3,-2.0,
20,20,AL,Autauga County,2016,5.1,0.1,South,12.4,34.3,28.7,24.6,55278.0,0.3,4.8,
21,21,AL,Autauga County,2017,3.9,-1.2,South,,,,,55504.0,0.3,1.0,
22,22,AL,Baldwin County,2007,3.1,,South,,,,,,,,
23,23,AL,Baldwin County,2008,4.6,1.5,South,,,,,,,,
24,24,AL,Baldwin County,2009,9.8,5.2,South,,,,,,,,
25,25,AL,Baldwin County,2010,10.0,0.2,South,,,,,,,,
26,26,AL,Baldwin County,2011,9.0,-1.0,South,,,,,186534.0,0.9,15.3,
27,27,AL,Baldwin County,2012,7.5,-1.5,South,10.0,28.7,31.8,29.5,190048.0,0.8,16.4,
28,28,AL,Baldwin County,2013,6.6,-0.9,South,10.0,28.7,31.8,29.5,194736.0,0.8,21.8,
29,29,AL,Baldwin County,2014,6.1,-0.5,South,10.0,28.7,31.8,29.5,199064.0,0.7,19.7,
30,30,AL,Baldwin County,2015,6.0,-0.1,South,10.0,28.7,31.8,29.5,202863.0,0.9,17.0,
31,31,AL,Baldwin County,2016,5.4,-0.6,South,10.0,28.7,31.8,29.5,207509.0,0.8,20.5,
32,32,AL,Baldwin County,2017,4.0,-1.4,South,,,,,212628.0,0.8,22.4,
33,33,AL,Barbour County,2007,6.3,,South,,,,,,,,
34,34,AL,Barbour County,2008,8.8,2.5,South,,,,,,,,
35,35,AL,Barbour County,2009,14.3,5.5,South,,,,,,,,
36,36,AL,Barbour County,2010,12.3,-2.0,South,,,,,,,,
37,37,AL,Barbour County,2011,11.5,-0.8,South,,,,,27351.0,-0.1,0.4,
38,38,AL,Barbour County,2012,11.5,0.0,South,26.2,34.9,26.0,12.9,27175.0,-0.4,-6.4,
39,39,AL,Barbour County,2013,10.2,-1.3,South,26.2,34.9,26.0,12.9,26947.0,-0.4,-7.6,
40,40,AL,Barbour County,2014,10.5,0.3,South,26.2,34.9,26.0,12.9,26749.0,-0.3,-5.2,
41,41,AL,Barbour County,2015,9.0,-1.5,South,26.2,34.9,26.0,12.9,26264.0,-0.2,-16.2,
42,42,AL,Barbour County,2016,8.4,-0.6,South,26.2,34.9,26.0,12.9,25774.0,-0.2,-18.8,
43,43,AL,Barbour County,2017,5.9,-2.5,South,,,,,25270.0,-0.1,-19.0,
44,44,AL,Bibb County,2007,4.1,,South,,,,,,,,
45,45,AL,Bibb County,2008,5.8,1.7,South,,,,,,,,
46,46,AL,Bibb County,2009,13.3,7.5,South,,,,,,,,
47,47,AL,Bibb County,2010,11.4,-1.9,South,,,,,,,,
48,48,AL,Bibb County,2011,10.5,-0.9,South,,,,,22745.0,0.4,-5.5,
49,49,AL,Bibb County,2012,8.5,-2.0,South,19.3,41.8,26.9,12.0,22658.0,0.6,-4.7,
50,50,AL,Bibb County,2013,7.9,-0.6,South,19.3,41.8,26.9,12.0,22503.0,0.6,-6.5,
51,51,AL,Bibb County,2014,7.2,-0.7,South,19.3,41.8,26.9,12.0,22533.0,0.8,0.5,
52,52,AL,Bibb County,2015,7.0,-0.2,South,19.3,41.8,26.9,12.0,22561.0,0.9,0.9,
