,State,Area,MedianIncome2016,Year,UnemploymentRate,Region
0,AL,Alabama,,2007,4.0,South
1,AL,Alabama,,2008,5.7,South
2,AL,Alabama,,2009,11.0,South
3,AL,Alabama,,2010,10.5,South
4,AL,Alabama,,2011,9.6,South
5,AL,Alabama,,2012,8.0,South
6,AL,Alabama,,2013,7.2,South
7,AL,Alabama,,2014,6.8,South
8,AL,Alabama,,2015,6.0,South
9,AL,Alabama,46309.0,2016,5.9,South
10,AL,Alabama,,2017,4.4,South
11,AL,Autauga County,,2007,3.3,South
12,AL,Autauga County,,2008,5.1,South
13,AL,Autauga County,,2009,9.7,South
14,AL,Autauga County,,2010,8.9,South
15,AL,Autauga County,,2011,8.4,South
16,AL,Autauga County,,2012,6.9,South
17,AL,Autauga County,,2013,6.2,South
18,AL,Autauga County,,2014,5.8,South
19,AL,Autauga County,,2015,5.0,South
20,AL,Autauga County,54487.0,2016,5.1,South
21,AL,Autauga County,,2017,3.9,South
22,AL,Baldwin County,,2007,3.1,South
23,AL,Baldwin County,,2008,4.6,South
24,AL,Baldwin County,,2009,9.8,South
25,AL,Baldwin County,,2010,10.0,South
26,AL,Baldwin County,,2011,9.0,South
27,AL,Baldwin County,,2012,7.5,South
28,AL,Baldwin County,,2013,6.6,South
29,AL,Baldwin County,,2014,6.1,South
30,AL,Baldwin County,,2015,6.0,South
31,AL,Baldwin County,56460.0,2016,5.4,South
32,AL,Baldwin County,,2017,4.0,South
33,AL,Barbour County,,2007,6.3,South
34,AL,Barbour County,,2008,8.8,South
35,AL,Barbour County,,2009,14.3,South
36,AL,Barbour County,,2010,12.3,South
37,AL,Barbour County,,2011,11.5,South
38,AL,Barbour County,,2012,11.5,South
39,AL,Barbour County,,2013,10.2,South
40,AL,Barbour County,,2014,10.5,South
41,AL,Barbour County,,2015,9.0,South
42,AL,Barbour County,32884.0,2016,8.4,South
43,AL,Barbour County,,2017,5.9,South
44,AL,Bibb County,,2007,4.1,South
45,AL,Bibb County,,2008,5.8,South
46,AL,Bibb County,,2009,13.3,South
47,AL,Bibb County,,2010,11.4,South
48,AL,Bibb County,,2011,10.5,South
49,AL,Bibb County,,2012,8.5,South
50,AL,Bibb County,,2013,7.9,South
51,AL,Bibb County,,2014,7.2,South
52,AL,Bibb County,,2015,7.0,South
53,AL,Bibb County,43079.0,2016,6.5,South
54,AL,Bibb County,,2017,4.4,South
55,AL,Blount County,,2007,3.2,South
56,AL,Blount County,,2008,4.7,South
57,AL,Blount County,,2009,10.0,South
58,AL,Blount County,,2010,9.8,South
59,AL,Blount County,,2011,8.7,South
60,AL,Blount County,,2012,6.9,South
61,AL,Blount County,,2013,6.3,South
62,AL,Blount County,,2014,6.1,South
63,AL,Blount County,,2015,5.0,South
64,AL,Blount County,47213.0,2016,5.4,South
65,AL,Blount County,,2017,4.0,South
66,AL,Bullock County,,2007,9.4,South
67,AL,Bullock County,,2008,10.5,South
68,AL,Bullock County,,2009,15.6,South
69,AL,Bullock County,,2010,11.8,South
70,AL,Bullock County,,2011,11.6,South
71,AL,Bullock County,,2012,10.4,South
72,AL,Bullock County,,2013,9.4,South
73,AL,Bullock County,,2014,8.8,South
74,AL,Bullock County,,2015,8.0,South
75,AL,Bullock County,34278.0,2016,6.9,South
76,AL,Bullock County,,2017,4.9,South
77,AL,Butler County,,2007,6.2,South
78,AL,Butler County,,2008,8.5,South
79,AL,Butler County,,2009,16.4,South
80,AL,Butler County,,2010,13.6,South
81,AL,Butler County,,2011,12.5,South
82,AL,Butler County,,2012,11.5,South
83,AL,Butler County,,2013,10.3,South
84,AL,Butler County,,2014,8.5,South
85,AL,Butler County,,2015,8.0,South
86,AL,Butler County,35409.0,2016,6.9,South
87,AL,Butler County,,2017,5.5,South
88,AL,Calhoun County,,2007,3.9,South
89,AL,Calhoun County,,2008,5.7,South
90,AL,Calhoun County,,2009,11.1,South
91,AL,Calhoun County,,2010,11.4,South
92,AL,Calhoun County,,2011,10.3,South
93,AL,Calhoun County,,2012,8.9,South
94,AL,Calhoun County,,2013,8.8,South
95,AL,Calhoun County,,2014,8.0,South
96,AL,Calhoun County,,2015,7.0,South
97,AL,Calhoun County,41778.0,2016,6.6,South
98,AL,Calhoun County,,2017,4.9,South
99,AL,Chambers County,,2007,6.5,South
100,AL,Chambers County,,2008,14.4,South
101,AL,Chambers County,,2009,19.6,South
102,AL,Chambers County,,2010,14.9,South
103,AL,Chambers County,,2011,12.0,South
104,AL,Chambers County,,2012,9.9,South
105,AL,Chambers County,,2013,8.0,South
106,AL,Chambers County,,2014,6.7,South
107,AL,Chambers County,,2015,6.0,South
108,AL,Chambers County,39530.0,2016,5.5,South
109,AL,Chambers County,,2017,4.1,South
110,AL,Cherokee County,,2007,4.2,South
111,AL,Cherokee County,,2008,5.7,South
112,AL,Cherokee County,,2009,11.7,South
113,AL,Cherokee County,,2010,10.6,South
114,AL,Cherokee County,,2011,9.7,South
115,AL,Cherokee County,,2012,8.0,South
116,AL,Cherokee County,,2013,6.6,South
117,AL,Cherokee County,,2014,5.8,South
118,AL,Cherokee County,,2015,6.0,South
119,AL,Cherokee County,41456.0,2016,5.1,South
120,AL,Cherokee County,,2017,4.1,South
121,AL,Chilton County,,2007,3.4,South
122,AL,Chilton County,,2008,5.1,South
123,AL,Chilton County,,2009,10.6,South
124,AL,Chilton County,,2010,10.3,South
125,AL,Chilton County,,2011,9.1,South
126,AL,Chilton County,,2012,7.2,South
127,AL,Chilton County,,2013,6.6,South
128,AL,Chilton County,,2014,6.3,South
129,AL,Chilton County,,2015,6.0,South
130,AL,Chilton County,44188.0,2016,5.5,South
131,AL,Chilton County,,2017,4.0,South
132,AL,Choctaw County,,2007,5.9,South
133,AL,Choctaw County,,2008,8.3,South
134,AL,Choctaw County,,2009,13.5,South
135,AL,Choctaw County,,2010,13.3,South
136,AL,Choctaw County,,2011,13.1,South
137,AL,Choctaw County,,2012,10.3,South
138,AL,Choctaw County,,2013,9.2,South
139,AL,Choctaw County,,2014,9.0,South
140,AL,Choctaw County,,2015,9.0,South
141,AL,Choctaw County,32691.0,2016,8.5,South
142,AL,Choctaw County,,2017,6.4,South
143,AL,Clarke County,,2007,6.1,South
144,AL,Clarke County,,2008,9.0,South
145,AL,Clarke County,,2009,16.5,South
146,AL,Clarke County,,2010,19.9,South
147,AL,Clarke County,,2011,18.8,South
148,AL,Clarke County,,2012,15.0,South
149,AL,Clarke County,,2013,13.8,South
150,AL,Clarke County,,2014,12.2,South
151,AL,Clarke County,,2015,12.0,South
152,AL,Clarke County,34061.0,2016,10.9,South
153,AL,Clarke County,,2017,8.5,South
154,AL,Clay County,,2007,5.5,South
155,AL,Clay County,,2008,7.9,South
156,AL,Clay County,,2009,16.7,South
157,AL,Clay County,,2010,14.5,South
158,AL,Clay County,,2011,11.8,South
159,AL,Clay County,,2012,9.4,South
160,AL,Clay County,,2013,8.3,South
161,AL,Clay County,,2014,7.1,South
162,AL,Clay County,,2015,6.0,South
