,State,Year,Min_Wage,CPI
0,Alabama,2007,5.15,207.3424167
1,Alaska,2007,7.15,207.3424167
2,Arizona,2007,6.75,207.3424167
3,Arkansas,2007,6.25,207.3424167
4,California,2007,7.5,207.3424167
5,Colorado,2007,6.85,207.3424167
6,Connecticut,2007,7.65,207.3424167
7,Delaware,2007,6.65,207.3424167
8,District of Columbia,2007,7.0,207.3424167
9,Florida,2007,6.67,207.3424167
10,Georgia,2007,5.15,207.3424167
11,Hawaii,2007,7.25,207.3424167
12,Idaho,2007,5.15,207.3424167
13,Illinois,2007,6.5,207.3424167
14,Indiana,2007,5.15,207.3424167
15,Iowa,2007,5.15,207.3424167
16,Kansas,2007,2.65,207.3424167
17,Kentucky,2007,5.15,207.3424167
18,Louisiana,2007,5.15,207.3424167
19,Maine,2007,6.75,207.3424167
20,Maryland,2007,6.15,207.3424167
21,Massachusetts,2007,7.5,207.3424167
22,Michigan,2007,6.95,207.3424167
23,Minnesota,2007,6.15,207.3424167
24,Mississippi,2007,5.15,207.3424167
25,Missouri,2007,6.5,207.3424167
26,Montana,2007,6.15,207.3424167
27,Nebraska,2007,5.15,207.3424167
28,Nevada,2007,6.15,207.3424167
29,New Hampshire,2007,5.15,207.3424167
30,New Jersey,2007,7.15,207.3424167
31,New Mexico,2007,5.15,207.3424167
32,New York,2007,7.15,207.3424167
33,North Carolina,2007,6.15,207.3424167
34,North Dakota,2007,5.15,207.3424167
35,Ohio,2007,6.85,207.3424167
36,Oklahoma,2007,5.15,207.3424167
37,Oregon,2007,7.8,207.3424167
38,Pennsylvania,2007,6.25,207.3424167
39,Rhode Island,2007,7.4,207.3424167
40,South Carolina,2007,5.15,207.3424167
41,South Dakota,2007,5.15,207.3424167
42,Tennessee,2007,5.15,207.3424167
43,Texas,2007,5.15,207.3424167
44,Utah,2007,5.15,207.3424167
45,Vermont,2007,7.53,207.3424167
46,Virginia,2007,5.15,207.3424167
47,Washington,2007,7.93,207.3424167
48,West Virginia,2007,5.85,207.3424167
