,State,Area,Year,Pop_Est,Int_Mig_Rate,Dom_Mig_Rate
0,AL,Alabama,2011,4798649,0.9,-0.5
1,AL,Alabama,2012,4813946,0.9,0.0
2,AL,Alabama,2013,4827660,0.8,0.5
3,AL,Alabama,2014,4840037,0.8,-0.2
4,AL,Alabama,2015,4850858,1.0,-0.3
5,AL,Alabama,2016,4860545,1.0,-0.4
6,AL,Alabama,2017,4874747,0.9,0.8
7,AL,Autauga County,2011,55199,0.0,5.9
8,AL,Autauga County,2012,54927,-0.3,-5.8
9,AL,Autauga County,2013,54695,0.0,-4.1
10,AL,Autauga County,2014,54864,0.2,1.9
11,AL,Autauga County,2015,54838,0.3,-2.0
12,AL,Autauga County,2016,55278,0.3,4.8
13,AL,Autauga County,2017,55504,0.3,1.0
14,AL,Baldwin County,2011,186534,0.9,15.3
15,AL,Baldwin County,2012,190048,0.8,16.4
16,AL,Baldwin County,2013,194736,0.8,21.8
17,AL,Baldwin County,2014,199064,0.7,19.7
18,AL,Baldwin County,2015,202863,0.9,17.0
19,AL,Baldwin County,2016,207509,0.8,20.5
20,AL,Baldwin County,2017,212628,0.8,22.4
21,AL,Barbour County,2011,27351,-0.1,0.4
22,AL,Barbour County,2012,27175,-0.4,-6.4
23,AL,Barbour County,2013,26947,-0.4,-7.6
24,AL,Barbour County,2014,26749,-0.3,-5.2
25,AL,Barbour County,2015,26264,-0.2,-16.2
26,AL,Barbour County,2016,25774,-0.2,-18.8
27,AL,Barbour County,2017,25270,-0.1,-19.0
28,AL,Bibb County,2011,22745,0.4,-5.5
29,AL,Bibb County,2012,22658,0.6,-4.7
30,AL,Bibb County,2013,22503,0.6,-6.5
31,AL,Bibb County,2014,22533,0.8,0.5
32,AL,Bibb County,2015,22561,0.9,0.9
33,AL,Bibb County,2016,22633,0.9,-1.4
34,AL,Bibb County,2017,22668,0.9,-0.9
35,AL,Blount County,2011,57562,-0.2,0.5
36,AL,Blount County,2012,57595,0.4,-1.7
37,AL,Blount County,2013,57623,0.6,-1.1
38,AL,Blount County,2014,57546,1.0,-2.7
39,AL,Blount County,2015,57590,1.0,-1.6
40,AL,Blount County,2016,57562,1.1,-1.7
41,AL,Blount County,2017,58013,1.1,6.2
42,AL,Bullock County,2011,10675,1.2,-24.2
